15
67
1 4 11
1 6 14
1 7 8
1 9 0
1 10 18
1 11 18
1 12 4
1 13 -1
1 14 18
2 3 10
2 9 0
2 11 1
2 14 8
2 15 16
3 9 16
4 2 3
4 7 -2
4 8 0
4 9 6
4 15 -1
5 2 12
5 4 10
6 7 16
6 11 12
6 12 -2
6 13 4
6 14 2
7 8 7
7 12 10
7 15 12
8 5 15
8 11 4
8 14 20
8 15 -1
9 1 2
9 2 4
9 5 17
9 6 11
10 2 1
10 3 18
10 5 11
10 12 5
11 2 10
11 5 18
11 12 2
11 13 12
12 1 10
12 2 12
12 4 4
12 7 11
12 9 11
12 13 9
12 14 12
13 1 17
13 3 17
13 6 3
13 7 10
13 10 2
13 12 17
14 3 9
14 5 3
14 10 7
15 2 10
15 5 13
15 7 16
15 9 2
15 13 -2
